doc_id,item,category,amount,price,discount,sale_date
UZZ5362,Тарелка,Посуда,4,741.04,0.0,2026-01-22
UZZ5362,Сковорода,Посуда,2,377.15,0.0,2026-01-22
EGJ3358,Сковорода,Посуда,1,1431.76,225.29,2026-01-22
EGJ3358,Кружка,Посуда,5,792.76,0.0,2026-01-22
ZXG2397,Контейнер,Кухня,2,96.67,33.51,2026-01-22
PSQ4107,Сковорода,Посуда,4,939.42,303.26,2026-01-22
PSQ4107,Кружка,Посуда,2,936.08,0.0,2026-01-22
PBM2909,Полотенце,Текстиль,4,489.01,0.0,2026-01-22
PBM2909,Отбеливатель,Бытовая химия,4,592.01,665.55,2026-01-22
UBY7606,Разделочная доска,Кухня,4,323.8,0.0,2026-01-22
MKD9202,Отбеливатель,Бытовая химия,3,339.35,0.0,2026-01-22
MKD9202,Кружка,Посуда,5,1438.74,192.71,2026-01-22
RQU6367,Порошок,Бытовая химия,1,853.0,97.19,2026-01-22
PRR3866,Кружка,Посуда,4,725.83,632.41,2026-01-22
PRR3866,Полотенце,Текстиль,3,342.99,52.85,2026-01-22
PRR3866,Разделочная доска,Кухня,3,1245.66,0.0,2026-01-22
PRR3866,Нож,Кухня,4,1456.03,1477.62,2026-01-22
GEA1585,Полотенце,Текстиль,1,363.86,0.0,2026-01-22
GEA1585,Простыня,Текстиль,3,1491.97,864.02,2026-01-22
GEA1585,Средство для мытья посуды,Бытовая химия,3,428.17,0.0,2026-01-22
GEA1585,Наволочка,Текстиль,2,1005.49,0.0,2026-01-22
FOJ9060,Полотенце,Текстиль,5,1106.38,611.99,2026-01-22
FOJ9060,Контейнер,Кухня,3,53.89,0.0,2026-01-22
FOJ9060,Кружка,Посуда,2,865.77,0.0,2026-01-22
MGU8997,Сковорода,Посуда,2,597.23,0.0,2026-01-22
MGU8997,Разделочная доска,Кухня,4,1200.87,0.0,2026-01-22
MGU8997,Порошок,Бытовая химия,4,1484.95,0.0,2026-01-22
MGU8997,Полотенце,Текстиль,5,385.42,141.76,2026-01-22
MGU8997,Тарелка,Посуда,3,1279.7,0.0,2026-01-22
UOF9121,Тарелка,Посуда,1,515.12,141.25,2026-01-22
