doc_id,item,category,amount,price,discount,sale_date
ANG7031,Кружка,Посуда,5,144.17,0.0,2026-01-22
THA4960,Простыня,Текстиль,1,277.3,0.0,2026-01-22
THA4960,Полотенце,Текстиль,1,595.37,0.0,2026-01-22
THA4960,Нож,Кухня,2,147.23,0.0,2026-01-22
THA4960,Тарелка,Посуда,1,1279.28,105.45,2026-01-22
THA4960,Полотенце,Текстиль,1,528.42,0.0,2026-01-22
ILC9101,Разделочная доска,Кухня,1,494.67,0.0,2026-01-22
OEO3728,Тарелка,Посуда,3,1184.13,207.81,2026-01-22
ZNW2826,Простыня,Текстиль,1,1263.73,0.0,2026-01-22
ZNW2826,Сковорода,Посуда,1,139.22,0.0,2026-01-22
ZNW2826,Отбеливатель,Бытовая химия,2,279.86,0.0,2026-01-22
ZNW2826,Порошок,Бытовая химия,1,1117.18,270.9,2026-01-22
ZNW2826,Кружка,Посуда,3,1395.44,0.0,2026-01-22
CCY2295,Тарелка,Посуда,3,1220.75,391.35,2026-01-22
CCY2295,Нож,Кухня,2,574.82,132.24,2026-01-22
CCY2295,Наволочка,Текстиль,5,768.18,286.07,2026-01-22
CCY2295,Полотенце,Текстиль,1,1168.34,0.0,2026-01-22
FQF7723,Средство для мытья посуды,Бытовая химия,1,1032.21,144.92,2026-01-22
FQF7723,Средство для мытья посуды,Бытовая химия,3,750.3,0.0,2026-01-22
MWW8131,Контейнер,Кухня,2,375.02,25.44,2026-01-22
MWW8131,Контейнер,Кухня,5,1189.57,0.0,2026-01-22
MWW8131,Отбеливатель,Бытовая химия,2,754.66,0.0,2026-01-22
MWW8131,Порошок,Бытовая химия,4,345.83,281.89,2026-01-22
XWI7891,Простыня,Текстиль,5,1408.5,2064.2,2026-01-22
XWI7891,Кружка,Посуда,4,189.07,0.0,2026-01-22
XWI7891,Отбеливатель,Бытовая химия,5,1367.24,0.0,2026-01-22
NPA7549,Нож,Кухня,3,753.07,287.53,2026-01-22
NPA7549,Отбеливатель,Бытовая химия,2,925.43,60.92,2026-01-22
NPA7549,Отбеливатель,Бытовая химия,1,673.75,0.0,2026-01-22
NPA7549,Порошок,Бытовая химия,3,325.01,0.0,2026-01-22
NPA7549,Кружка,Посуда,4,390.26,462.97,2026-01-22
HJI1810,Контейнер,Кухня,4,222.93,0.0,2026-01-22
