doc_id,item,category,amount,price,discount,sale_date
CIJ4491,Кружка,Посуда,4,830.62,0.0,2026-01-22
DEM7142,Простыня,Текстиль,2,472.13,10.11,2026-01-22
DEM7142,Нож,Кухня,5,1006.92,0.0,2026-01-22
DEM7142,Сковорода,Посуда,5,665.39,133.26,2026-01-22
DEM7142,Тарелка,Посуда,1,1134.09,0.0,2026-01-22
RVZ3123,Средство для мытья посуды,Бытовая химия,3,910.2,0.0,2026-01-22
WRE2179,Контейнер,Кухня,4,169.85,203.71,2026-01-22
WRE2179,Тарелка,Посуда,2,919.41,288.26,2026-01-22
WRE2179,Средство для мытья посуды,Бытовая химия,5,1047.66,0.0,2026-01-22
GZE8673,Отбеливатель,Бытовая химия,3,52.27,0.0,2026-01-22
GZE8673,Сковорода,Посуда,4,694.43,0.0,2026-01-22
GZE8673,Средство для мытья посуды,Бытовая химия,3,1224.24,0.0,2026-01-22
GZE8673,Отбеливатель,Бытовая химия,5,1135.66,0.0,2026-01-22
VTG4812,Простыня,Текстиль,2,910.46,0.0,2026-01-22
VTG4812,Средство для мытья посуды,Бытовая химия,2,527.46,0.0,2026-01-22
VTG4812,Нож,Кухня,4,866.24,717.35,2026-01-22
VTG4812,Отбеливатель,Бытовая химия,3,485.61,149.35,2026-01-22
VTG4812,Порошок,Бытовая химия,4,312.1,365.09,2026-01-22
GFY3784,Простыня,Текстиль,3,937.33,0.0,2026-01-22
GFY3784,Сковорода,Посуда,5,292.78,260.14,2026-01-22
RTM9242,Средство для мытья посуды,Бытовая химия,4,421.35,0.0,2026-01-22
RTM9242,Сковорода,Посуда,5,290.5,0.0,2026-01-22
RBV2123,Порошок,Бытовая химия,1,392.91,0.0,2026-01-22
RBV2123,Простыня,Текстиль,3,892.85,297.44,2026-01-22
RBV2123,Наволочка,Текстиль,1,1462.64,0.0,2026-01-22
DXL8530,Наволочка,Текстиль,5,1025.85,0.0,2026-01-22
DXL8530,Нож,Кухня,3,1271.43,0.0,2026-01-22
DXL8530,Кружка,Посуда,5,1214.49,1741.92,2026-01-22
DXL8530,Сковорода,Посуда,2,996.21,0.0,2026-01-22
