doc_id,item,category,amount,price,discount,sale_date
CDV8678,Нож,Кухня,5,1201.7,0.0,2026-01-22
CDV8678,Сковорода,Посуда,5,1428.85,0.0,2026-01-22
CDV8678,Тарелка,Посуда,4,95.49,0.0,2026-01-22
CDV8678,Порошок,Бытовая химия,3,431.43,209.04,2026-01-22
CDV8678,Простыня,Текстиль,2,1070.48,315.64,2026-01-22
PTM9846,Нож,Кухня,4,1196.4,540.71,2026-01-22
PTM9846,Разделочная доска,Кухня,2,251.44,38.26,2026-01-22
PTM9846,Средство для мытья посуды,Бытовая химия,3,441.85,0.0,2026-01-22
PTM9846,Тарелка,Посуда,3,1202.28,0.0,2026-01-22
PTM9846,Кружка,Посуда,3,1309.27,0.0,2026-01-22
XIM1080,Простыня,Текстиль,3,1454.89,997.81,2026-01-22
AMV4448,Разделочная доска,Кухня,4,295.52,0.0,2026-01-22
AMV4448,Кружка,Посуда,4,711.09,303.43,2026-01-22
AMV4448,Нож,Кухня,3,456.01,0.0,2026-01-22
AMV4448,Простыня,Текстиль,4,180.37,0.0,2026-01-22
ULK6586,Нож,Кухня,4,1033.25,0.0,2026-01-22
ULK6586,Простыня,Текстиль,2,609.48,0.0,2026-01-22
ULK6586,Порошок,Бытовая химия,3,156.49,60.46,2026-01-22
ULK6586,Контейнер,Кухня,4,377.88,0.0,2026-01-22
RPU7003,Тарелка,Посуда,5,1349.39,0.0,2026-01-22
RPU7003,Простыня,Текстиль,2,1282.28,0.0,2026-01-22
NCG6310,Средство для мытья посуды,Бытовая химия,3,312.3,0.0,2026-01-22
NCG6310,Простыня,Текстиль,1,115.36,0.0,2026-01-22
NCG6310,Средство для мытья посуды,Бытовая химия,3,379.47,0.0,2026-01-22
NCG6310,Средство для мытья посуды,Бытовая химия,2,1266.85,0.0,2026-01-22
SHX4062,Порошок,Бытовая химия,4,1406.26,0.0,2026-01-22
SHX4062,Простыня,Текстиль,2,860.59,0.0,2026-01-22
SHX4062,Кружка,Посуда,5,207.19,50.68,2026-01-22
SHX4062,Кружка,Посуда,4,1107.44,0.0,2026-01-22
DHF2442,Нож,Кухня,5,1078.47,1031.67,2026-01-22
DHF2442,Кружка,Посуда,4,85.7,0.0,2026-01-22
DHF2442,Наволочка,Текстиль,4,931.28,0.0,2026-01-22
HJJ5130,Полотенце,Текстиль,4,225.09,126.91,2026-01-22
HJJ5130,Порошок,Бытовая химия,3,753.21,0.0,2026-01-22
HJJ5130,Сковорода,Посуда,3,937.26,0.0,2026-01-22
HJJ5130,Простыня,Текстиль,1,1442.8,372.88,2026-01-22
YIM8911,Средство для мытья посуды,Бытовая химия,2,174.65,84.09,2026-01-22
YIM8911,Нож,Кухня,4,1482.75,568.65,2026-01-22
YIM8911,Простыня,Текстиль,4,445.33,0.0,2026-01-22
YIM8911,Кружка,Посуда,3,486.36,0.0,2026-01-22
