doc_id,item,category,amount,price,discount,sale_date
XII1501,Нож,Кухня,2,301.61,0.0,2026-01-22
XII1501,Сковорода,Посуда,3,918.48,0.0,2026-01-22
XII1501,Контейнер,Кухня,4,235.03,0.0,2026-01-22
XII1501,Порошок,Бытовая химия,3,653.15,457.42,2026-01-22
KJH3334,Полотенце,Текстиль,2,873.15,0.0,2026-01-22
KJH3334,Тарелка,Посуда,3,605.99,0.0,2026-01-22
KJH3334,Наволочка,Текстиль,4,125.48,0.0,2026-01-22
KJH3334,Контейнер,Кухня,4,657.04,0.0,2026-01-22
DJV4284,Контейнер,Кухня,1,480.19,0.0,2026-01-22
TIR7481,Средство для мытья посуды,Бытовая химия,1,636.06,37.42,2026-01-22
TIR7481,Порошок,Бытовая химия,2,843.91,0.0,2026-01-22
VJA3454,Наволочка,Текстиль,2,1241.65,0.0,2026-01-22
VJA3454,Средство для мытья посуды,Бытовая химия,2,684.94,0.0,2026-01-22
VJA3454,Тарелка,Посуда,3,919.88,1.17,2026-01-22
MGZ8635,Контейнер,Кухня,1,996.92,0.0,2026-01-22
MGZ8635,Отбеливатель,Бытовая химия,5,835.94,0.0,2026-01-22
MGZ8635,Простыня,Текстиль,2,842.56,0.0,2026-01-22
MGZ8635,Сковорода,Посуда,1,873.81,85.25,2026-01-22
CEV2942,Полотенце,Текстиль,4,798.49,226.26,2026-01-22
WXK2252,Средство для мытья посуды,Бытовая химия,2,941.65,521.11,2026-01-22
WXK2252,Порошок,Бытовая химия,1,289.51,0.0,2026-01-22
NEJ8772,Контейнер,Кухня,4,1146.99,0.0,2026-01-22
NEJ8772,Средство для мытья посуды,Бытовая химия,1,1418.82,411.77,2026-01-22
NEJ8772,Отбеливатель,Бытовая химия,4,671.48,0.0,2026-01-22
NEJ8772,Простыня,Текстиль,4,551.12,330.64,2026-01-22
UDT2099,Наволочка,Текстиль,4,969.23,0.0,2026-01-22
UDT2099,Тарелка,Посуда,5,459.78,438.26,2026-01-22
UDT2099,Отбеливатель,Бытовая химия,1,753.09,0.0,2026-01-22
WEH5385,Кружка,Посуда,4,553.84,227.76,2026-01-22
WEH5385,Порошок,Бытовая химия,5,680.29,0.0,2026-01-22
WEH5385,Полотенце,Текстиль,1,811.88,0.0,2026-01-22
NKE3935,Простыня,Текстиль,3,899.14,0.0,2026-01-22
EMH2509,Разделочная доска,Кухня,2,457.98,0.0,2026-01-22
EMH2509,Отбеливатель,Бытовая химия,4,424.24,281.61,2026-01-22
EMH2509,Полотенце,Текстиль,1,210.28,0.0,2026-01-22
EMH2509,Отбеливатель,Бытовая химия,1,799.97,0.0,2026-01-22
EMH2509,Порошок,Бытовая химия,5,495.18,0.0,2026-01-22
CLX3712,Разделочная доска,Кухня,4,1439.11,0.0,2026-01-22
GMK8969,Кружка,Посуда,1,456.26,0.0,2026-01-22
GMK8969,Контейнер,Кухня,2,1192.07,0.0,2026-01-22
GMK8969,Отбеливатель,Бытовая химия,5,1403.32,278.0,2026-01-22
GMK8969,Порошок,Бытовая химия,1,1244.72,298.37,2026-01-22
